run_id,embedding_model,n_neighbors,n_components,min_cluster_size,min_samples,cluster_selection_epsilon,n_topics,pct_outliers,coherence_npmi,diversity,runtime_sec
run_00,MiniLM-L6-v2,10,5,150,,0.0,46,0.5081,-0.0339,0.95,122.1
run_01,MiniLM-L6-v2,15,5,150,,0.0,41,0.5435,-0.0298,0.9415,118.6
run_02,MiniLM-L6-v2,30,5,150,,0.0,41,0.5565,-0.0093,0.9561,160.9
run_03,MiniLM-L6-v2,15,5,75,,0.0,83,0.5524,-0.0882,0.9325,112.8
run_04,MiniLM-L6-v2,15,5,300,,0.0,14,0.4409,-0.0173,0.9786,126.0
run_05,MiniLM-L6-v2,15,5,500,,0.0,12,0.4654,0.0379,0.975,139.3
run_06,MiniLM-L6-v2,15,10,150,,0.0,32,0.4381,-0.0431,0.9688,145.6
run_07,MiniLM-L6-v2,15,15,150,,0.0,40,0.5411,-0.0623,0.9525,171.2
run_08,MiniLM-L6-v2,15,5,150,10,0.0,66,0.5116,-0.0985,0.9364,112.1
run_09,MiniLM-L6-v2,15,5,150,50,0.0,55,0.5492,-0.0502,0.9491,116.5
run_10,MiniLM-L6-v2,15,5,700,,0.0,11,0.488,0.0403,0.9818,149.2
run_11,MiniLM-L6-v2,15,5,1000,,0.0,9,0.5311,0.0948,0.9889,161.1
run_12,MiniLM-L6-v2,30,5,500,,0.0,12,0.4831,0.0565,0.975,181.6
run_13,MiniLM-L6-v2,30,5,700,,0.0,9,0.3735,0.0239,0.9778,192.2
run_14,MiniLM-L6-v2,20,5,500,,0.0,12,0.4622,0.0159,0.975,152.4
run_15,MiniLM-L6-v2,15,5,800,,0.0,10,0.4967,0.0647,0.99,152.2
run_16,MiniLM-L6-v2,15,5,500,,0.3,12,0.4654,0.0379,0.975,134.8
run_17,MiniLM-L6-v2,15,5,500,,0.5,11,0.4493,0.0071,0.9727,139.7
run_18,MiniLM-L6-v2,30,5,500,,0.3,12,0.4831,0.0565,0.975,180.2
run_19,mpnet-base-v2,15,5,500,,0.0,13,0.3882,0.0489,0.9769,140.8
run_20,mpnet-base-v2,30,5,500,,0.0,13,0.436,0.057,0.9769,196.7
run_21,mpnet-base-v2,15,5,150,,0.0,36,0.4217,-0.0617,0.9611,127.5
