topic_id,keywords,purity_before,purity_after,purity_change
3,film khan kapoor shah rukh rukh,0.633,0.565,-0.068
6,bail plea court cbi judge,0.699,0.696,-0.003
7,suicide murder commits kill end life,0.924,0.873,-0.051
0,bjp poll congress election cong,0.633,0.632,-0.001
13,rape raped minor girl year old,0.886,0.855,-0.031
40,relationship love sex dating thing,0.266,0.345,0.079
26,art celebration painting artist exhibition,0.7,0.662,-0.038
4,pak pakistan terror china bomb,0.33,0.305,-0.026
2,exam school university college teacher,0.827,0.82,-0.006
16,accident killed truck mishap injured,0.934,0.866,-0.068
