,size_before,size_after,absorbed,pct_growth
0,22683,27555,4872,0.215
1,15312,17717,2405,0.157
2,12132,16208,4076,0.336
3,8242,13642,5400,0.655
4,6907,11038,4131,0.598
5,6210,8153,1943,0.313
6,5671,10786,5115,0.902
7,5567,10675,5108,0.918
8,5024,8507,3483,0.693
9,4839,7435,2596,0.536
10,4601,8371,3770,0.819
11,4362,5432,1070,0.245
12,3421,6034,2613,0.764
13,3419,8130,4711,1.378
14,3315,6411,3096,0.934
15,3115,6398,3283,1.054
16,2724,6661,3937,1.445
17,2519,6003,3484,1.383
18,2386,4814,2428,1.018
19,2300,4324,2024,0.88
20,2206,4793,2587,1.173
21,2075,4449,2374,1.144
22,2034,4651,2617,1.287
23,1874,3514,1640,0.875
24,1790,5001,3211,1.794
25,1690,5534,3844,2.275
26,1508,5667,4159,2.758
27,1485,4172,2687,1.809
28,1262,3251,1989,1.576
29,1219,4108,2889,2.37
30,1140,3213,2073,1.818
31,946,2604,1658,1.753
32,890,3198,2308,2.593
33,884,3294,2410,2.726
34,883,2793,1910,2.163
35,740,3070,2330,3.149
36,710,2568,1858,2.617
37,691,2400,1709,2.473
38,686,2650,1964,2.863
39,684,2457,1773,2.592
40,627,5085,4458,7.11
41,620,2965,2345,3.782
42,566,2646,2080,3.675
43,563,2701,2138,3.798
44,542,3536,2994,5.524
